Name,Price
Saffiano leather poker set,"£ 5,200"
Candle,£ 180
Glass Christmas ornament set,£ 380
Double cashmere throw,"£ 2,800"
Playing cards with leather case,£ 490
Saffiano Leather Backgammon Set,"£ 4,800"
Glass Christmas ornament set,£ 380
Sheepskin pillow,"£ 1,400"
Saffiano leather Tic-Tac-Toe Set,"£ 1,200"
Sheepskin pillow,"£ 1,200"
Double cashmere throw,"£ 2,800"
Saffiano leather Playing Cards set,£ 490
Saffiano leather checkers set,"£ 4,800"
Glass Christmas ornament set,£ 380
Wood and Saffiano leather box,"£ 1,600"
Glass Christmas ornament set,£ 380
Saffiano leather Go set,"£ 5,200"
Saffiano case with playing cards,£ 820
Felt log carrier,£ 950
